id;name;artists;popularity;year;release_date
0rOTMSSa6yscfOrGnzfheM;99 Red Balloons;['Goldfinger'];64;2000;28/03/2000
5jgEJXjECdlhzNgfITSTVm;Just Friends (Sunny);['Musiq Soulchild'];59;2000;01/01/2000
2avKuMN2QXkaG9vvHa2JLt;Take A Look Around;['Limp Bizkit'];72;2000;17/10/2000
6xxXrNJnnsQNLdgNk8S4y8;Hate To Say I Told You So;['The Hives'];59;2000;2000
1J3w85cS3FEmoSKRu2dQJ8;Sea of Love;['Cat Power'];64;2000;21/03/2000
5rAxhWcgFng3s570sGO2F8;A Place for My Head;['Linkin Park'];66;2000;24/10/2000
2EduiM2UNwjCC7PsLxnOCH;Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat);['Three 6 Mafia', 'UGK', 'Project Pat'];58;2000;13/06/2000
5QhBKPqsnX1uY9fZNaAtZg;Stronger;['Britney Spears'];66;2000;16/05/2000
7IoK6jZBxY7NMoQPoPXZCF;Passenger;['Deftones'];62;2000;16/05/2000
21ryEt5nCkFjsHJHegnLOA;We Are The Dinosaurs;['The Laurie Berkner Band'];60;2000;2000
3AA8xNhDC0MpqwkGX3EP5V;If I Ever Feel Better;['Phoenix'];66;2000;06/03/2000
5egqKwgK5r5rvGD1LrtR7J;Points of Authority;['Linkin Park'];66;2000;24/10/2000
6nEkxYIEnrbYH7h1hJ8Xn6;She Loves You - Mono / Remastered;['The Beatles'];67;2000;13/11/2000
587p8shYuTXUhThG3t9x60;El Amor Soñado;['Los Tucanes De Tijuana'];63;2000;01/11/2000
2MSgFefjK0T7Iwjvr3OKqV;Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.;['Frédéric Chopin', 'Mikhail Pletnev'];66;2000;2000
2RQ3fWFZJJe4G5KkHEACww;Pinch Me;['Barenaked Ladies'];59;2000;01/09/2000
